Microsoft (R) COFF/PE Dumper Version 14.00.24215.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file gdiplus.dll

File Type: DLL

  Section contains the following exports for gdiplus.dll

    00000000 characteristics
    403E3D73 time date stamp Fri Feb 27 02:39:47 2004
        0.00 version
           1 ordinal base
         609 number of functions
         609 number of names

    ordinal hint RVA      name

        129   80 000A4E4B GdipCreateTextureIAI
        130   81 0005B634 GdipDeleteBrush
        131   82 0000A200 GdipDeleteCachedBitmap
        132   83 000179F1 GdipDeleteCustomLineCap
        133   84 00036EB9 GdipDeleteFont
        134   85 00036F32 GdipDeleteFontFamily
        135   86 0005388D GdipDeleteGraphics
        136   87 000415D0 GdipDeleteMatrix
        137   88 00028665 GdipDeletePath
        138   89 0001A8A7 GdipDeletePathIter
        139   8A 0005B6D0 GdipDeletePen
        140   8B 000A42FA GdipDeletePrivateFontCollection
        141   8C 0005FCFB GdipDeleteRegion
        142   8D 00060CAB GdipDeleteStringFormat
        143   8E 0006167F GdipDisposeImage
        144   8F 00040310 GdipDisposeImageAttributes
        145   90 0009F882 GdipDrawArc
        146   91 0009F9A1 GdipDrawArcI
        147   92 0009F9F4 GdipDrawBezier
        148   93 0009FB24 GdipDrawBezierI
        149   94 0009FB85 GdipDrawBeziers
        150   95 0009FC98 GdipDrawBeziersI
        151   96 00005938 GdipDrawCachedBitmap
        154   97 0001CF3D GdipDrawClosedCurve
        152   98 000A03EF GdipDrawClosedCurve2
        153   99 000A0509 GdipDrawClosedCurve2I
        155   9A 0001CFF9 GdipDrawClosedCurveI
        160   9B 0001A747 GdipDrawCurve
        156   9C 000A006E GdipDrawCurve2
        157   9D 000A018F GdipDrawCurve2I
        158   9E 000A022C GdipDrawCurve3
        159   9F 000A034C GdipDrawCurve3I
        161   A0 0001A803 GdipDrawCurveI
        162   A1 000A0D97 GdipDrawDriverString
        163   A2 0009FF1C GdipDrawEllipse
        164   A3 000A0029 GdipDrawEllipseI
        165   A4 000A1204 GdipDrawImage
        166   A5 000A12FE GdipDrawImageI
        167   A6 00028811 GdipDrawImagePointRect
        168   A7 00028902 GdipDrawImagePointRectI
        169   A8 000157D1 GdipDrawImagePoints
        170   A9 000A1379 GdipDrawImagePointsI
        171   AA 00004FFE GdipDrawImagePointsRect
        172   AB 000A1427 GdipDrawImagePointsRectI
        173   AC 00005100 GdipDrawImageRect
        174   AD 000A1334 GdipDrawImageRectI
        175   AE 0003CC70 GdipDrawImageRectRect
        176   AF 000402A3 GdipDrawImageRectRectI
        177   B0 0005F872 GdipDrawLine
        178   B1 0005F932 GdipDrawLineI
        179   B2 0000AC14 GdipDrawLines
        180   B3 0000ACD1 GdipDrawLinesI
        181   B4 0001BBF0 GdipDrawPath
        182   B5 0001ADDA GdipDrawPie
        183   B6 0001AEA8 GdipDrawPieI
        184   B7 0002F594 GdipDrawPolygon
        185   B8 0002F652 GdipDrawPolygonI
        186   B9 0005F5D4 GdipDrawRectangle
        187   BA 0005F77D GdipDrawRectangleI
        188   BB 0009FD46 GdipDrawRectangles
        189   BC 0009FE59 GdipDrawRectanglesI
        190   BD 0005BEC3 GdipDrawString
        191   BE 000A4859 GdipEmfToWmfBits
        192   BF 00060F5F GdipEndContainer
        193   C0 000A150A GdipEnumerateMetafileDestPoint
        194   C1 000A16A6 GdipEnumerateMetafileDestPointI
        195   C2 000A18D6 GdipEnumerateMetafileDestPoints
        196   C3 000A1A75 GdipEnumerateMetafileDestPointsI
        197   C4 000A16EA GdipEnumerateMetafileDestRect
        198   C5 000A1886 GdipEnumerateMetafileDestRectI
        199   C6 000A1B30 GdipEnumerateMetafileSrcRectDestPoint
        200   C7 000A1D02 GdipEnumerateMetafileSrcRectDestPointI
        201   C8 000A1FAA GdipEnumerateMetafileSrcRectDestPoints
        202   C9 000A217F GdipEnumerateMetafileSrcRectDestPointsI
        203   CA 000A1D67 GdipEnumerateMetafileSrcRectDestRect
        204   CB 000A1F39 GdipEnumerateMetafileSrcRectDestRectI
        207   CC 0001B730 GdipFillClosedCurve
