Microsoft (R) COFF/PE Dumper Version 14.00.24215.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file gdi32.dll

File Type: DLL

  Section contains the following exports for GDI32.dll

    00000000 characteristics
    55A5AF62 time date stamp Wed Jul 15 08:54:58 2015
        0.00 version
        1000 ordinal base
        1001 number of functions
         861 number of names

    ordinal hint RVA      name

       1136   7B 0004F130 D3DKMTDestroyOutputDupl
       1137   7C 0004F140 D3DKMTDestroyOverlay
       1138   7D 0004F150 D3DKMTDestroyPagingQueue
       1139   7E 0004F160 D3DKMTDestroySynchronizationObject
       1140   7F 0004F170 D3DKMTEnumAdapters
       1141   80 0004F180 D3DKMTEnumAdapters2
       1142   81 0004F190 D3DKMTEscape
       1143   82 0004F1A0 D3DKMTEvict
       1144   83 0004F1B0 D3DKMTFlipOverlay
       1145   84 0004F1C0 D3DKMTFreeGpuVirtualAddress
       1146   85 0004F1D0 D3DKMTGetCachedHybridQueryValue
       1147   86 0004F1E0 D3DKMTGetContextInProcessSchedulingPriority
       1148   87 0004F1F0 D3DKMTGetContextSchedulingPriority
       1149   88 0004F200 D3DKMTGetDWMVerticalBlankEvent
       1150   89 0004F210 D3DKMTGetDeviceState
       1151   8A 0004F220 D3DKMTGetDisplayModeList
       1152   8B 0004F230 D3DKMTGetMultisampleMethodList
       1153   8C 0004F240 D3DKMTGetOverlayState
       1154   8D 0004F250 D3DKMTGetPresentHistory
       1155   8E 0004F260 D3DKMTGetPresentQueueEvent
       1156   8F 0004F270 D3DKMTGetProcessSchedulingPriorityClass
       1157   90 0004F280 D3DKMTGetResourcePresentPrivateDriverData
       1158   91 0004F290 D3DKMTGetRuntimeData
       1159   92 0004F2A0 D3DKMTGetScanLine
       1160   93 0004F2B0 D3DKMTGetSetSwapChainMetadata
       1161   94 0004F2C0 D3DKMTGetSharedPrimaryHandle
       1162   95 0004F2D0 D3DKMTGetSharedResourceAdapterLuid
       1163   96 0004F2E0 D3DKMTInvalidateActiveVidPn
       1164   97 0004F2F0 D3DKMTInvalidateCache
       1165   98 0004F300 D3DKMTLock
       1166   99 0004F310 D3DKMTLock2
       1167   9A 0004F320 D3DKMTMakeResident
       1168   9B 0004F330 D3DKMTMapGpuVirtualAddress
       1169   9C 0004F340 D3DKMTMarkDeviceAsError
       1170   9D 0004F350 D3DKMTNetDispGetNextChunkInfo
       1171   9E 0004F360 D3DKMTNetDispQueryMiracastDisplayDeviceStatus
       1172   9F 0004F370 D3DKMTNetDispQueryMiracastDisplayDeviceSupport
       1173   A0 00075F50 D3DKMTNetDispStartMiracastDisplayDevice
       1174   A1 0004F380 D3DKMTNetDispStartMiracastDisplayDevice2
       1175   A2 0004F390 D3DKMTNetDispStartMiracastDisplayDeviceEx
       1176   A3 0004F3A0 D3DKMTNetDispStopMiracastDisplayDevice
       1177   A4 0004F3B0 D3DKMTNetDispStopSessions
       1178   A5 0004F3C0 D3DKMTOfferAllocations
       1179   A6 0004F3D0 D3DKMTOpenAdapterFromDeviceName
       1180   A7 00012DA0 D3DKMTOpenAdapterFromGdiDisplayName
       1181   A8 0004F3E0 D3DKMTOpenAdapterFromHdc
       1182   A9 0004F3F0 D3DKMTOpenAdapterFromLuid
       1183   AA 0004F400 D3DKMTOpenKeyedMutex
       1184   AB 0004F410 D3DKMTOpenKeyedMutex2
       1185   AC 0004F420 D3DKMTOpenNtHandleFromName
       1186   AD 000425B0 D3DKMTOpenResource
       1187   AE 0004F430 D3DKMTOpenResource2
       1188   AF 0004F440 D3DKMTOpenResourceFromNtHandle
       1189   B0 0004F450 D3DKMTOpenSwapChain
       1190   B1 0004F460 D3DKMTOpenSyncObjectFromNtHandle
       1191   B2 0004F470 D3DKMTOpenSyncObjectFromNtHandle2
       1192   B3 0004F480 D3DKMTOpenSyncObjectNtHandleFromName
       1193   B4 0004F490 D3DKMTOpenSynchronizationObject
       1194   B5 0004F4A0 D3DKMTOutputDuplGetFrameInfo
       1195   B6 0004F4B0 D3DKMTOutputDuplGetMetaData
       1196   B7 0004F4C0 D3DKMTOutputDuplGetPointerShapeData
       1197   B8 0004F4D0 D3DKMTOutputDuplPresent
       1198   B9 0004F4E0 D3DKMTOutputDuplReleaseFrame
       1199   BA 0004F4F0 D3DKMTPinDirectFlipResources
       1200   BB 0004F500 D3DKMTPollDisplayChildren
       1201   BC 0004F510 D3DKMTPresent
       1202   BD 0004F520 D3DKMTPresentMultiPlaneOverlay
       1203   BE 0004F530 D3DKMTPresentMultiPlaneOverlay2
       1204   BF 0004F540 D3DKMTQueryAdapterInfo
       1205   C0 0004F550 D3DKMTQueryAllocationResidency
       1206   C1 0004F560 D3DKMTQueryClockCalibration
       1207   C2 0004F570 D3DKMTQueryRemoteVidPnSourceFromGdiDisplayName
       1208   C3 0004F580 D3DKMTQueryResourceInfo
       1209   C4 0004F590 D3DKMTQueryResourceInfoFromNtHandle
       1210   C5 0004F5A0 D3DKMTQueryStatistics
       1211   C6 0004F5B0 D3DKMTQueryVidPnExclusiveOwnership
       1212   C7 0004F5C0 D3DKMTQueryVideoMemoryInfo
       1213   C8 0004F5D0 D3DKMTReclaimAllocations
       1214   C9 0004F5E0 D3DKMTReclaimAllocations2
       1215   CA 00075F70 D3DKMTRegisterTrimNotification
       1216   CB 0004F5F0 D3DKMTReleaseKeyedMutex
       1217   CC 0004F600 D3DKMTReleaseKeyedMutex2
       1218   CD 0004F610 D3DKMTReleaseProcessVidPnSourceOwners
       1219   CE 0004F620 D3DKMTReleaseSwapChain
       1220   CF 0004F630 D3DKMTRender
       1221   D0 0004F640 D3DKMTReserveGpuVirtualAddress
       1222   D1 0004F650 D3DKMTSetAllocationPriority
       1223   D2 0004F660 D3DKMTSetContextInProcessSchedulingPriority
       1224   D3 0004F670 D3DKMTSetContextSchedulingPriority
       1225   D4 0004F680 D3DKMTSetDisplayMode
       1226   D5 0004F690 D3DKMTSetDisplayPrivateDriverFormat
       1227   D6 0004F6A0 D3DKMTSetDodIndirectSwapchain
       1228   D7 0004F6B0 D3DKMTSetGammaRamp
       1229   D8 0004F6C0 D3DKMTSetProcessSchedulingPriorityClass
       1230   D9 0004F6D0 D3DKMTSetQueuedLimit
       1231   DA 0004F6E0 D3DKMTSetStablePowerState
       1232   DB 0004F6F0 D3DKMTSetStereoEnabled
       1233   DC 0004F700 D3DKMTSetSyncRefreshCountWaitTarget
       1234   DD 0004F710 D3DKMTSetVidPnSourceHwProtection
       1235   DE 0004F720 D3DKMTSetVidPnSourceOwner
       1236   DF 0004F730 D3DKMTSetVidPnSourceOwner1
       1237   E0 0004F740 D3DKMTShareObjects
       1238   E1 0004F750 D3DKMTSharedPrimaryLockNotification
       1239   E2 0004F760 D3DKMTSharedPrimaryUnLockNotification
       1240   E3 0003EFD0 D3DKMTSignalSynchronizationObject
       1241   E4 0004F770 D3DKMTSignalSynchronizationObject2
       1242   E5 0004F780 D3DKMTSignalSynchronizationObjectFromCpu
       1243   E6 0004F790 D3DKMTSignalSynchronizationObjectFromGpu
       1244   E7 0004F7A0 D3DKMTSignalSynchronizationObjectFromGpu2
       1245   E8 0004F7B0 D3DKMTSubmitCommand
       1246   E9 0004F7C0 D3DKMTUnlock
       1247   EA 0004F7D0 D3DKMTUnlock2
       1248   EB 0004F7E0 D3DKMTUnpinDirectFlipResources
       1249   EC 00045580 D3DKMTUnregisterTrimNotification
       1250   ED 0004F7F0 D3DKMTUpdateGpuVirtualAddress
       1251   EE 0004F800 D3DKMTUpdateOverlay
       1252   EF 0004F810 D3DKMTWaitForIdle
       1253   F0 0003F350 D3DKMTWaitForSynchronizationObject
       1254   F1 0004F820 D3DKMTWaitForSynchronizationObject2
       1255   F2 0004F830 D3DKMTWaitForSynchronizationObjectFromCpu
       1256   F3 0004F840 D3DKMTWaitForSynchronizationObjectFromGpu
       1257   F4 0004F850 D3DKMTWaitForVerticalBlankEvent
       1258   F5 0004F860 D3DKMTWaitForVerticalBlankEvent2
       1259   F6 0004EE10 DDCCIGetCapabilitiesString
       1260   F7 0004EE20 DDCCIGetCapabilitiesStringLength
       1261   F8 0004EE30 DDCCIGetTimingReport
       1262   F9 0004EE40 DDCCIGetVCPFeature
       1263   FA 0004EE50 DDCCISaveCurrentSettings
       1264   FB 0004EE60 DDCCISetVCPFeature
       1265   FC 00020F60 DPtoLP
       1266   FD 0004EEF0 DdCreateFullscreenSprite
       1267   FE 0004F890 DdDestroyFullscreenSprite
       1268   FF 0004FC20 DdEntry0
       1269  100 0004EDD0 DdEntry1
       1270  101 0004EEA0 DdEntry10
       1271  102 0004DD10 DdEntry11
       1272  103 0004DF60 DdEntry12
       1273  104 0004EEB0 DdEntry13
       1274  105 0004EEC0 DdEntry14
       1275  106 0004EEE0 DdEntry15
       1276  107 0004DF70 DdEntry16
       1277  108 0004EED0 DdEntry17
       1278  109 0004EF00 DdEntry18
       1279  10A 0004E170 DdEntry19
       1280  10B 0004EDE0 DdEntry2
       1281  10C 0004F870 DdEntry20
       1282  10D 0004DF50 DdEntry21
       1283  10E 0004F8A0 DdEntry22
       1284  10F 0004DF90 DdEntry23
       1285  110 0004F880 DdEntry24
       1286  111 0004F8B0 DdEntry25
       1287  112 0004F8C0 DdEntry26
       1288  113 0004F8D0 DdEntry27
       1289  114 0004F8E0 DdEntry28
       1290  115 0004F8F0 DdEntry29
       1291  116 0004EDF0 DdEntry3
       1292  117 0004F900 DdEntry30
       1293  118 0004F910 DdEntry31
       1294  119 0004F930 DdEntry32
       1295  11A 0004F940 DdEntry33
       1296  11B 0004F950 DdEntry34
       1297  11C 0004F960 DdEntry35
       1298  11D 0004F980 DdEntry36
       1299  11E 0004F970 DdEntry37
       1300  11F 0004F990 DdEntry38
       1301  120 0004F9A0 DdEntry39
       1302  121 0004EE00 DdEntry4
       1303  122 0004E190 DdEntry40
       1304  123 0004F9C0 DdEntry41
       1305  124 0004F9D0 DdEntry42
       1306  125 0004F9F0 DdEntry43
       1307  126 0004FA00 DdEntry44
       1308  127 0004FA10 DdEntry45
       1309  128 0004DFE0 DdEntry46
       1310  129 0004FA20 DdEntry47
       1311  12A 0004FA30 DdEntry48
       1312  12B 0004FA40 DdEntry49
       1313  12C 0004DB90 DdEntry5
       1314  12D 0004E160 DdEntry50
       1315  12E 0004FA50 DdEntry51
       1316  12F 0004FA60 DdEntry52
       1317  130 0004FA70 DdEntry53
       1318  131 0004E1A0 DdEntry54
       1319  132 0004FA80 DdEntry55
       1320  133 0004FA90 DdEntry56
       1321  134 0004F920 DdEntry6
       1322  135 0004EE70 DdEntry7
       1323  136 0004EE80 DdEntry8
       1324  137 0004EE90 DdEntry9
       1325  138 0004F9B0 DdNotifyFullscreenSpriteUpdate
       1326  139 0004F9E0 DdQueryVisRgnUniqueness
       1327  13A 0007AF20 DeleteColorSpace
       1328  13B 00018500 DeleteDC
